time_from_start,target_move_x,target_move_y,target_move_z,target_turn_z
1,0,0,1,0
4,0.45,1,1,0
5,0.5964466094,1.3535533906,1,0
6,0.95,1.5,1,0
7,1.3035533906,1.3535533906,1,0
8,1.45,1,1,0
9,1.3035533906,0.6464466094,1,0
10,0.95,0.5,1,0
11,0.5964466094,0.6464466094,1,0
12,0.45,1,1,0
13,0.45,1.5,1,0
14,0.5964466094,1.8535533906,1,0
15,0.95,2,1,0
16,1.3035533906,1.8535533906,1,0
17,1.45,1.5,1,0
18,1.3035533906,1.1464466094,1,0
19,0.95,1,1,0
20,0.5964466094,1.1464466094,1,0
21,0.45,1.5,1,0
22,0.45,2,1,0
23,0.5964466094,2.3535533906,1,0
24,0.95,2.5,1,0
25,1.3035533906,2.3535533906,1,0
26,1.45,2,1,0
27,1.3035533906,1.6464466094,1,0
28,0.95,1.5,1,0
29,0.5964466094,1.6464466094,1,0
30,0.45,2,1,0
31,0.45,2.5,1,0
32,0.5964466094,2.8535533906,1,0
33,0.95,3,1,0
34,1.3035533906,2.8535533906,1,0
35,1.45,2.5,1,0
36,1.3035533906,2.1464466094,1,0
37,0.95,2,1,0
38,0.5964466094,2.1464466094,1,0
39,0.45,2.5,1,0
40,0.45,3,1,0
41,0.5964466094,3.3535533906,1,0
42,0.95,3.5,1,0
43,1.3035533906,3.3535533906,1,0
44,1.45,3,1,0
45,1.3035533906,2.6464466094,1,0
46,0.95,2.5,1,0
47,0.5964466094,2.6464466094,1,0
48,0.45,3,1,0
49,0.45,3.5,1,0
50,0.5964466094,3.8535533906,1,0
51,0.95,4,1,0
52,1.3035533906,3.8535533906,1,0
53,1.45,3.5,1,0
54,1.3035533906,3.1464466094,1,0
55,0.95,3,1,0
56,0.5964466094,3.1464466094,1,0
57,0.45,3.5,1,0
60,0,0,1,0
