time_from_start,target_move_x,target_move_y,target_move_z,target_turn_z
1,1.767766953,1.767766953,1,-2
5,1.767766953,1.767766953,1,-2
10,1.767766953,1.767766953,1.2879520262,-2.3561944902
15,1.767766953,1.767766953,1.2879520262,-2.3561944902
20,1.53080849893419E-016,2.5,0.7758866504,-1.5707963268
25,1.53080849893419E-016,2.5,0.7758866504,-1.5707963268
30,-1.767766953,1.767766953,0.6366923258,-0.7853981634
35,-1.767766953,1.767766953,0.6366923258,-0.7853981634
40,-2.5,3.06161699786838E-016,1.1493010551,0
45,-2.5,3.06161699786838E-016,1.1493010551,0
50,-1.767766953,-1.767766953,0.9187952589,0.7853981634
55,-1.767766953,-1.767766953,0.9187952589,0.7853981634
60,-4.59242549680257E-016,-2.5,0.6508937467,1.5707963268
65,-4.59242549680257E-016,-2.5,0.6508937467,1.5707963268
70,1.767766953,-1.767766953,0.9797929717,2.3561944902
75,1.767766953,-1.767766953,0.9797929717,2.3561944902
80,2.5,-6.12323399573677E-016,1.0616065506,3.1415926536
85,2.5,-6.12323399573677E-016,1.0616065506,3.1415926536
90,1.767766953,1.767766953,1.0572861547,3.926990817
95,1.767766953,1.767766953,1.0572861547,3.926990817
100,7.65404249467096E-016,2.5,0.7933713175,4.7123889804
105,7.65404249467096E-016,2.5,0.7933713175,4.7123889804
110,-1.767766953,1.767766953,0.6006961903,5.4977871438
115,-1.767766953,1.767766953,0.6006961903,5.4977871438
120,-2.5,9.18485099360515E-016,1.1496809645,6.2831853072
125,-2.5,9.18485099360515E-016,1.1496809645,6.2831853072
130,-1.767766953,-1.767766953,0.7698061084,7.0685834706
135,-1.767766953,-1.767766953,0.7698061084,7.0685834706
140,-1.07156594925393E-015,-2.5,0.9905506244,7.853981634
145,-1.07156594925393E-015,-2.5,0.9905506244,7.853981634
150,1.767766953,-1.767766953,1.0684526756,8.6393797974
155,1.767766953,-1.767766953,1.0684526756,8.6393797974
160,2.5,-1.22464679914735E-015,1.3746885302,9.4247779608
165,2.5,-1.22464679914735E-015,1.3746885302,9.4247779608
170,1.767766953,1.767766953,0.6754370093,10.2101761242
175,1.767766953,1.767766953,0.6754370093,10.2101761242
180,1.37772764904077E-015,2.5,0.6153829971,10.9955742876
185,1.37772764904077E-015,2.5,0.6153829971,10.9955742876
