time_from_start,drone1_move_x,drone1_move_y,drone1_move_z,drone1_turn_z,drone2_move_x,drone2_move_y,drone2_move_z,drone2_turn_z,drone3_move_x,drone3_move_y,drone3_move_z,drone3_turn_z,drone4_move_x,drone4_move_y,drone4_move_z,drone4_turn_z,drone5_move_x,drone5_move_y,drone5_move_z,drone5_turn_z,drone6_move_x,drone6_move_y,drone6_move_z,drone6_turn_z,drone7_move_x,drone7_move_y,drone7_move_z,drone7_turn_z,drone8_move_x,drone8_move_y,drone8_move_z,drone8_turn_z,drone9_move_x,drone9_move_y,drone9_move_z,drone9_turn_z
1,0.0,0.0,0.03333333333333333,0.0,0.1,1.0,0.03333333333333333,0.3,0.2,2.0,0.03333333333333333,0.6,0.30000000000000004,3.0,0.03333333333333333,0.8999999999999999,0.4,4.0,0.03333333333333333,1.2,0.5,5.0,0.03333333333333333,1.5,0.6000000000000001,6.0,0.03333333333333333,1.7999999999999998,0.7000000000000001,7.0,0.03333333333333333,2.1,0.8,8.0,0.03333333333333333,2.4
2,0.0,0.0,0.06666666666666667,0.0,0.2,1.0,0.06666666666666667,0.3,0.4,2.0,0.06666666666666667,0.6,0.6000000000000001,3.0,0.06666666666666667,0.8999999999999999,0.8,4.0,0.06666666666666667,1.2,1.0,5.0,0.06666666666666667,1.5,1.2000000000000002,6.0,0.06666666666666667,1.7999999999999998,1.4000000000000001,7.0,0.06666666666666667,2.1,1.6,8.0,0.06666666666666667,2.4
3,0.0,0.0,0.1,0.0,0.30000000000000004,1.0,0.1,0.3,0.6000000000000001,2.0,0.1,0.6,0.9000000000000001,3.0,0.1,0.8999999999999999,1.2000000000000002,4.0,0.1,1.2,1.5,5.0,0.1,1.5,1.8000000000000003,6.0,0.1,1.7999999999999998,2.1,7.0,0.1,2.1,2.4000000000000004,8.0,0.1,2.4
4,0.0,0.0,0.13333333333333333,0.0,0.4,1.0,0.13333333333333333,0.3,0.8,2.0,0.13333333333333333,0.6,1.2000000000000002,3.0,0.13333333333333333,0.8999999999999999,1.6,4.0,0.13333333333333333,1.2,2.0,5.0,0.13333333333333333,1.5,2.4000000000000004,6.0,0.13333333333333333,1.7999999999999998,2.8000000000000003,7.0,0.13333333333333333,2.1,3.2,8.0,0.13333333333333333,2.4
5,0.0,0.0,0.16666666666666666,0.0,0.5,1.0,0.16666666666666666,0.3,1.0,2.0,0.16666666666666666,0.6,1.5000000000000002,3.0,0.16666666666666666,0.8999999999999999,2.0,4.0,0.16666666666666666,1.2,2.5,5.0,0.16666666666666666,1.5,3.0000000000000004,6.0,0.16666666666666666,1.7999999999999998,3.5000000000000004,7.0,0.16666666666666666,2.1,4.0,8.0,0.16666666666666666,2.4
6,0.0,0.0,0.2,0.0,0.6000000000000001,1.0,0.2,0.3,1.2000000000000002,2.0,0.2,0.6,1.8000000000000003,3.0,0.2,0.8999999999999999,2.4000000000000004,4.0,0.2,1.2,3.0,5.0,0.2,1.5,3.6000000000000005,6.0,0.2,1.7999999999999998,4.2,7.0,0.2,2.1,4.800000000000001,8.0,0.2,2.4
7,0.0,0.0,0.23333333333333334,0.0,0.7000000000000001,1.0,0.23333333333333334,0.3,1.4000000000000001,2.0,0.23333333333333334,0.6,2.1000000000000005,3.0,0.23333333333333334,0.8999999999999999,2.8000000000000003,4.0,0.23333333333333334,1.2,3.5,5.0,0.23333333333333334,1.5,4.200000000000001,6.0,0.23333333333333334,1.7999999999999998,4.9,7.0,0.23333333333333334,2.1,5.6000000000000005,8.0,0.23333333333333334,2.4
8,0.0,0.0,0.26666666666666666,0.0,0.8,1.0,0.26666666666666666,0.3,1.6,2.0,0.26666666666666666,0.6,2.4000000000000004,3.0,0.26666666666666666,0.8999999999999999,3.2,4.0,0.26666666666666666,1.2,4.0,5.0,0.26666666666666666,1.5,4.800000000000001,6.0,0.26666666666666666,1.7999999999999998,5.6000000000000005,7.0,0.26666666666666666,2.1,6.4,8.0,0.26666666666666666,2.4
9,0.0,0.0,0.3,0.0,0.9,1.0,0.3,0.3,1.8,2.0,0.3,0.6,2.7,3.0,0.3,0.8999999999999999,3.6,4.0,0.3,1.2,4.5,5.0,0.3,1.5,5.4,6.0,0.3,1.7999999999999998,6.300000000000001,7.0,0.3,2.1,7.2,8.0,0.3,2.4
10,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.3,2.0,2.0,0.3333333333333333,0.6,3.0000000000000004,3.0,0.3333333333333333,0.8999999999999999,4.0,4.0,0.3333333333333333,1.2,5.0,5.0,0.3333333333333333,1.5,6.000000000000001,6.0,0.3333333333333333,1.7999999999999998,7.000000000000001,7.0,0.3333333333333333,2.1,8.0,8.0,0.3333333333333333,2.4
